food,pricerange,area,name,utts
italian,cheap,,,"Hi, I'd like to find a cheap italian restaurant, please."
spanish,moderate,,,I want the phone number to a moderately priced restaurant with Spanish food.
,,,,"hi, i am looking for bar in town that serves food."
spanish,,west,,I am looking for a Spanish restaurant in the west side of town
chinese,moderate,,,I am looking for a restaurant that serves chinese food in the moderate price range.
chinese,cheap,,,I am looking for a Chinese restaurant in the cheap price range.
british,,,,Is there anywhere that serves British fish and chips around here?
european,,centre,,I'm looking to have some European food tonight for dinner. Something very traditional in the centre of town should be good. Can I get a list of options?
international,,centre,,"Hi I'm excited to try an international restaurant in the centre, are they are I can go to?"
cantonese,moderate,,,I am looking for a restaurant that is moderately priced and serves Cantonese food.
creative,,centre,,"Hi, I would like a restaurant inthe centre of town which serves creative food please."
,,,rice boat,While in Cambridge I need to find a restaurant called the rice boat.
,moderate,centre,,I'm looking for a moderately priced resturant in the centre of town.
singapore,,east,,Hi. Can you please help me find a restaurant that serves food from singapore ? I'd like it to be on the East side of town if possible.
chinese,cheap,,,I am looking for a cheap restaurant with Chinese food.
,,,maharajah tandoori restaurant,I would like to find a certain restaurant called the Maharajah Tandoori Restaurant. Can you find it for me?
malaysian,cheap,,,I am looking for a restaurant that serves Malaysian food and is in the cheap price range.
,expensive,west,,"Hi, I am looking for a restaurant. I would prefer an expensive restaurant in the west of the city."
italian,,,,I need to find an Italian restaurant please.
australian,cheap,,,I'm looking for an Australian place to dine in. I need it to be cheap.
,,,cafe uno,"I need your help in finding a particular restaurant. I don't know much about the restaurant, unfortunately I don't even know the food served. I do know the name: cafe uno."
,,east,,I'm needing a place to eat on the eastside.
,expensive,south,,Is there an expensive restaurant any where in the south part of town?
,,,india house,Hi. I am trying to find some information on a restaurant called India House. Have you heard of it?
,cheap,east,,I would like a cheap restaurant in the east!
indian,,centre,,Can you tell me the location of an Indian restaurant in the centre?
cantonese,,west,,I need the name and phone number for a cantonese restaurant on the west side of town.
,moderate,east,,I'm looking for a place to dine in the moderate price range in the east.
,,,curry garden,I need help finding a place to eat called curry garden.
,expensive,east,,What fancy restaurants are there on the east side of town?
,,,tandoori palace,I would like to find a restaurant named Tandoori Palace. Do you know of that restaurant?
,,,bangkok city,Can you help me find a restaurant by the name of Bangkok City?
,moderate,west,,I am looking for a moderately priced restaurant in the west part of town.
,expensive,south,,"I would like to find the best, most expensive restaurant in the south part of town."
,,,panahar,I need information on a restaurant called panahar.
indian,cheap,,,I would like to find a cheap indian restaurant to dine at.
swiss,,,,I want a place to eat that serves swiss food.
world,cheap,,,I'm looking for a cheap restaurant that serves world food?
,,north,,a north part of town restaurant
international,cheap,,,I want to find a cheap restaurant serving international food. What is the address and postcode?
,,centre,,I am looking for a restaurant in the centre of town
indian,,east,,I'm craving some spicy food so find me an Indian restaurant on the East end please
jamaican,,centre,,Are there are jamaican restaurants in the centre part of town?
australian,expensive,,,"Hello, I am looking for an expensive restaurant that serves Australian food."
,,,taj tandoori,I need to find a restaurant called taj tandoori
mediterranean,,centre,,I am looking for Mediterranean food in the center of the city.
korean,,centre,,Can I get a korean restaurant in the town centre?
chinese,cheap,,,I'm looking for a cheap Chinese restaurant.
brazilian,moderate,,,Please give me a moderately priced restaurant serving brazilian food
indian,moderate,,,I am looking for a restaurant in the moderate price range that serves Indian food.
,,,de luca cucina and bar,I'm looking for a restaurant called de luca cucina and bar
,expensive,centre,,"I'm looking for somewhere to eat in the centre part of town, somewhere nice, price is no object."
moroccan,,,,I want a moroccan restaurant.
chinese,expensive,south,,I am looking for an expensive Chinese restaurant in the south.
,cheap,centre,,Hi! I need to find a cheap restaurant in the centre.
european,dontcare,,,I want to find a restaurant that serves european food and I don't care about the price range.
,moderate,east,,I'm looking for a moderately priced restaurant in the east part of town.
,expensive,centre,,I'd like to find an expensive restaurant in the center of town.
,moderate,,,Find a moderately priced place for me please.
,,,cotto,"Can you help me find a restaurant called ""Cotto""?"
modern eclectic,,centre,,"Hello, I am looking for a restaurant. The restaurant should be in the centre and should serve modern eclectic food."
spanish,,centre,,I want to find a place serving spanish food in the centre of town.
,cheap,east,,What is the phone number and postcode of a cheap restaurant in the east part of town?
turkish,,centre,,I'd like to find a Turkish restaurant in the center of town.
,,,hakka,I'm looking for a place called hakka.
world,,east,,I'd like a place that serves world food in the east part of town.
italian,,centre,,Can you find me an italian restaurant that is in the centre?
indian,expensive,,,"Hello, I'm looking for an expensive indian restaurant."
,moderate,east,,"Can you help me find a place to dine on the east side of the city, please? Something that's moderately priced would be best."
african,moderate,,,i am looking for a restaurant that serves african food and is moderately priced
european,cheap,,,"I want a cheap, european restaurant please."
,,,efes restaurant,I am looking for a restaurant called Efes Restaurant.
swiss,,centre,,I need a restaurant serving swiss food in the centre of town.
british,,north,,I want a restaurant in the north part of town and serves british food.
chinese,expensive,,,Can you tell me where I can find an expensive chinese restaurant?
,,centre,,I'd like to find somewhere to eat in the centre.
,,,the varsity restaurant,I am traveling to Cambridge and am super excited to see some of the local tourist attractions and I am looking for a restaurant call The Varsity Restaurant.
,cheap,north,,I want to find a cheap restaurant in the north part of town. What is the address and food?
chinese,moderate,,,I am looking for a moderately priced Chinese restaurant.
indian,,,,I am interested in finding local Indian restaurants to visit during my trip to Cambridge.
